DATE,TOTAL DEBT TO EQUITY
2005-01-01,76.1473823728289
2005-04-01,76.0393727770444
2005-07-01,74.2135799251602
2005-10-01,72.2068411093404
2006-01-01,71.0664997446615
2006-04-01,70.9397363966838
2006-07-01,69.3753105420513
2006-10-01,67.4136025607673
2007-01-01,67.1244135853405
2007-04-01,65.5651048335256
2007-07-01,65.6551182266939
2007-10-01,67.6561201186289
2008-01-01,74.7667261989671
2008-04-01,76.3016730765613
2008-07-01,82.9957541580184
2008-10-01,95.1281001717536
2009-01-01,100.168106441857
2009-04-01,104.256921814718
2009-07-01,98.1478121639891
2009-10-01,97.9715640222454
2010-01-01,96.019548217363
2010-04-01,97.3362310414362
2010-07-01,94.0163986338063
2010-10-01,101.867794308569
2011-01-01,98.1287308378164
2011-04-01,99.2277902355729
2011-07-01,109.981272957848
2011-10-01,107.318174648339
2012-01-01,104.333592716477
2012-04-01,107.396679663534
2012-07-01,105.081605766366
2012-10-01,106.317809447416
2013-01-01,104.706780188699
2013-04-01,104.717830026938
2013-07-01,100.487567690752
2013-10-01,98.2878093155057
2014-01-01,99.5669385176506
2014-04-01,95.7907103394115
2014-07-01,98.0318576092473
2014-10-01,100.337594226597
2015-01-01,99.0508539215123
2015-04-01,100.534573752022
2015-07-01,107.205333108448
2015-10-01,108.000323312423
2016-01-01,110.041965109262
2016-04-01,108.573697473808
2016-07-01,105.085133981235
2016-10-01,106.275365839116
2017-01-01,103.566911598774
2017-04-01,97.3978155863567
2017-07-01,96.6985999534041
2017-10-01,92.7671528272033
2018-01-01,94.5099587249781
2018-04-01,95.0065354854429
2018-07-01,95.7296162354543
2018-10-01,103.495459964562
2019-01-01,101.625473642687
2019-04-01,98.4598439348742
2019-07-01,100.564793515946
2019-10-01,99.5658434315908
2020-01-01,109.847819686896
2020-04-01,104.196056633566
2020-07-01,97.6151197133624
2020-10-01,89.7942370072718
2021-01-01,87.2091364526318
2021-04-01,83.1050222728127
2021-07-01,79.263662758847
2021-10-01,76.5173331274345
2022-01-01,80.6964076039647
2022-04-01,86.7777679038676
2022-07-01,89.0586698406053
2022-10-01,86.660047706314
2023-01-01,84.810635430441
2023-04-01,82.9249694094507
2023-07-01,84.4245719214978
