DATE,CREDIT SPREAD
1/11/16,1.72
1/12/16,1.57
1/1/17,1.49
1/2/17,1.53
1/3/17,1.53
1/4/17,1.57
1/5/17,1.55
1/6/17,1.49
1/7/17,1.38
1/8/17,1.42
1/9/17,1.43
1/10/17,1.24
1/11/17,1.22
1/12/17,1.11
1/1/18,0.97
1/2/18,0.96
1/3/18,1.03
1/4/18,0.98
1/5/18,1.02
1/6/18,1.05
1/7/18,0.98
1/8/18,0.99
1/9/18,0.98
1/10/18,0.99
1/11/18,1.1
1/12/18,1.19
1/1/19,1.22
1/2/19,1.11
1/3/19,1.2
1/4/19,1.16
1/5/19,1.27
1/6/19,1.35
1/7/19,1.23
1/8/19,1.35
1/9/19,1.33
1/10/19,1.3
1/11/19,1.25
1/12/19,1.15
1/1/20,1.18
1/2/20,1.28
1/3/20,2.15
1/4/20,1.77
1/5/20,1.83
1/6/20,1.71
1/7/20,1.52
1/8/20,1.6
1/9/20,1.63
1/10/20,1.56
1/11/20,1.43
1/12/20,1.33
1/1/21,1.37
1/2/21,1.44
1/3/21,1.43
1/4/21,1.27
1/5/21,1.34
1/6/21,1.27
1/7/21,1.25
1/8/21,1.27
1/9/21,1.16
1/10/21,1.1
1/11/21,1.06
1/12/21,1.18
1/1/22,1.17
1/2/22,1.32
1/3/22,1.3
1/4/22,1.01
1/5/22,1.23
1/6/22,1.1
1/7/22,1.16
1/8/22,1.17
1/9/22,1.07
1/10/22,1.12
1/11/22,1.01
1/12/22,0.81
1/1/23,0.87
1/2/23,0.81
1/3/23,0.94
1/4/23,1.01
1/5/23,1.1
1/6/23,0.9
1/7/23,0.76
1/8/23,0.78
1/9/23,0.75
1/10/23,0.81
1/11/23,0.78
1/12/23,0.72
1/1/24,0.81
1/2/24,0.82
